Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2003-07-09,140.9957733154297,146.23054452902682,133.0148780155959,141.5106617607315,35164284
2003-07-10,143.3128204345703,144.77169083805984,141.1674189310588,143.3128204345703,10464179
2003-07-11,148.76214599609375,150.04938690256876,142.66920046764864,143.95644137412367,11740117
2003-07-14,152.7096710205078,153.8252823819249,149.53447952608317,149.53447952608317,5982324
2003-07-15,151.2078857421875,171.6321093769417,148.46177461105458,171.6321093769417,6173689
2003-07-16,151.98023986816406,153.6965609820022,150.47845889355568,151.4224276494721,3759085
2003-07-17,147.77523803710938,152.75257164209827,146.44508662020428,152.32349138467666,3814181
2003-07-18,143.65609741210938,147.51782060162301,137.30571340492872,141.59651694883274,5375212
2003-07-21,141.5106658935547,145.3723882713053,139.92307677272927,145.0291292977459,3315845
2003-07-22,143.52734375,145.157843463624,139.107822408947,140.738322122571,4627992
2003-07-23,149.92066955566406,152.75260244460304,145.71568742279518,146.31639728542032,13262249
2003-07-24,149.40576171875,151.89442215467417,148.33306099731868,150.95044028201812,4305936
2003-07-25,149.01959228515625,150.17811440551,147.68945374744422,149.66321277546558,2832967
2003-07-28,153.48199462890625,161.33415714581398,150.2638930900935,161.33415714581398,5415867
2003-07-29,154.72634887695312,156.95755843718015,153.6965588418875,154.4259874484174,5229181
2003-07-30,155.4128875732422,158.54516847859514,154.55472698607795,155.54160642352028,4632246
2003-07-31,155.1983184814453,157.60115720177464,154.16851549331682,155.92774698779925,3562717
2003-08-01,160.60470581054688,162.19230771112285,153.3961640389588,156.1851852033035,8027285
2003-08-04,169.5725555419922,170.34489491590446,158.7597257402636,161.20548891514045,9982429
2003-08-05,166.139892578125,174.59276638621455,165.49627214679623,170.77395444589553,9651327
2003-08-06,164.4235382080078,169.48667934038073,162.9217575049918,164.33771693004005,7451054
2003-08-07,167.6845703125,168.1994718928255,164.9813697520189,166.0540704656211,3223676
2003-08-08,169.1863555908203,170.68813662784837,168.19947614714133,169.05763673972876,2530289
2003-08-11,173.5200653076172,174.89312746273524,168.19947237189427,170.0016148136753,5651311
2003-08-12,180.59983825683594,181.92998938301488,174.63562660114872,174.89307731822973,8215213
2003-08-13,186.9073944091797,188.3662649126112,181.93005996115525,182.78822062134938,7839204
2003-08-14,185.83465576171875,192.57120771648243,184.50450439024,191.36978827452796,6298655
2003-08-15,185.83465576171875,185.83465576171875,185.83465576171875,185.83465576171875,0
2003-08-18,186.13504028320312,189.65350419613193,184.84779930449633,187.16484354176245,3382031
2003-08-19,185.06231689453125,188.70949922266664,184.5045177762598,188.66660167086943,3080091
2003-08-20,193.0861358642578,194.33046612092915,186.4783018335793,186.56411003726845,6049174
2003-08-21,195.61766052246094,196.4329102834022,191.6272199010446,194.8024107615197,4012069
2003-08-22,196.77621459960938,199.7797764920319,193.85846090456164,195.70351392374417,4436016
2003-08-25,189.69639587402344,198.62126052925257,185.44850368806814,197.37693032652703,4827198
2003-08-26,199.47940063476562,201.6677124741275,186.22082385908797,186.22082385908797,3968069
2003-08-27,201.0670166015625,203.89894899486436,199.95140528365684,202.01098533633603,2267859
2003-08-28,195.7035369873047,202.311371310466,193.94430505266305,202.311371310466,3554363
